Time (seconds)	Validator 1	Validator 2	Validator 3	Validator 4
562	2	0	0	1
563	4	4	3	3
564	1	4	4	4
565	1	1	1	1
566	4	0	1	3
567	4	1	2	2
568	1	2	2	0
569	3	1	1	1
570	1	4	5	1
571	0	1	1	5
572	0	0	1	1
573	1	2	0	5
574	4	0	0	1
575	3	3	3	1
576	2	0	1	1
577	1	5	1	1
578	0	2	2	5
579	7	0	3	5
580	0	0	0	7
581	7	0	1	1
582	5	2	1	1
583	6	4	5	4
584	4	0	4	3
585	1	1	3	1
586	1	1	3	1
587	7	3	5	7
588	0	1	0	1
589	1	1	1	1
590	3	3	3	5
591	0	3	4	0
592	2	2	0	0
593	11	1	1	8
594	7	1	1	10
595	1	1	1	0
596	1	1	18	1
597	4	1	8	9
598	7	1	1	1
599	2	2	1	1
600	1	3	7	1
601	7	0	5	4
602	3	1	1	1
603	1	0	1	6
604	0	5	5	6
605	1	1	2	0
606	2	2	1	1
607	0	7	4	5
608	4	0	1	1
609	1	0	1	1
610	3	4	1	1
611	1	5	5	1
612	3	2	2	1
613	0	0	0	1
614	2	5	1	1
615	5	1	3	0
616	3	3	4	1
617	1	1	3	8
618	4	3	5	0
619	1	3	11	1
620	2	2	1	1
621	2	5	4	4
622	5	4	1	1
623	0	1	1	2
624	3	4	1	1
625	4	1	0	1
626	0	1	4	4
627	1	4	4	5
628	5	0	0	1
629	0	1	1	2
630	1	4	0	1
631	6	1	0	0
632	0	1	0	1
633	4	4	6	5
634	0	1	1	1
635	1	1	4	1
636	1	0	0	10
637	3	9	8	4
638	4	0	1	4
639	2	1	1	1
640	1	1	1	5
641	6	1	5	1
642	1	1	1	0
643	1	1	1	0
644	8	11	6	1
645	5	2	2	1
646	1	1	1	0
647	3	0	28	2
648	2	2	2	4
649	0	1	1	1
650	2	2	0	1
651	1	4	4	4
652	6	2	9	4
653	0	4	1	2
654	3	2	1	3
655	0	1	4	5
656	4	5	4	4
657	2	0	1	1
658	1	1	5	0
659	6	4	4	0
660	3	4	4	4
661	12	1	4	1
662	6	1	4	8
663	1	2	2	4
664	4	4	0	1
665	1	4	4	3
666	5	0	0	1
667	2	2	3	6
668	5	5	4	1
669	1	0	1	1
670	3	0	1	1
671	0	5	4	1
672	4	1	0	1
673	2	1	0	3
674	5	4	3	0
675	1	1	4	0
676	1	1	1	0
677	0	2	1	4
678	3	1	3	5
679	4	1	0	5
680	2	1	1	1
681	1	1	2	5
682	2	10	6	1
683	1	1	0	0
684	1	0	1	1
685	1	5	8	11
686	5	6	2	5
687	1	0	0	0
688	1	1	1	1
689	0	4	4	5
690	1	1	0	1
691	1	2	0	0
692	1	4	2	5
693	8	5	4	5
694	1	1	0	0
695	1	1	1	0
696	1	3	5	3
697	3	4	4	1
698	1	1	0	1
699	4	1	0	0
700	5	6	2	1
701	3	3	3	2
702	2	6	2	1
703	0	1	1	5
704	0	1	5	1
705	4	0	0	0
706	3	4	0	5
707	9	0	0	1
708	3	3	2	1
709	22	1	2	2
710	3	2	5	1
711	1	4	1	1
712	5	3	4	1
713	2	4	1	4
714	4	1	5	1
715	1	1	2	4
716	6	5	4	5
717	2	2	6	5
718	1	0	0	1
719	0	2	1	1
720	1	3	4	4
721	5	1	1	0
722	1	0	1	1
723	1	3	6	3
724	1	1	0	4
725	2	2	1	1
726	1	1	1	1
727	2	6	3	3
728	4	1	1	0
729	2	1	1	1
730	1	1	4	6
731	3	2	5	6
732	2	1	1	0
733	1	4	1	0
734	1	7	6	3
735	5	0	2	0
736	1	1	1	0
737	1	1	1	4
738	6	0	3	7
739	0	0	1	0
740	0	1	1	0
741	1	5	1	1
742	4	3	3	2
743	1	0	0	0
744	1	7	6	1
745	4	1	4	1
746	3	3	3	1
747	1	1	0	1
748	1	1	1	4
749	1	1	4	1
750	4	3	4	1
751	2	2	0	2
752	6	1	6	0
753	0	0	4	1
754	9	0	0	1
755	6	4	0	0
756	1	0	1	1
757	1	0	3	5
758	2	5	6	1
759	0	1	0	1
760	0	1	4	0
761	4	4	3	4
762	4	3	4	0
763	0	0	1	0
764	1	1	8	1
765	3	8	7	1
766	1	1	1	3
767	0	0	7	22
768	0	6	1	4
769	5	2	2	1
770	2	1	1	0
771	0	0	2	1
772	2	5	7	3
773	1	1	1	0
774	2	2	0	1
775	1	7	1	1
776	12	5	4	10
777	1	0	0	0
778	1	1	1	5
779	2	7	4	3
780	2	1	1	2
781	1	5	0	0
782	3	1	6	3
783	5	3	1	4
784	1	1	1	11
785	3	4	0	4
786	3	1	1	4
787	2	1	4	1
788	2	1	4	1
789	5	1	2	5
790	1	1	10	1
791	1	1	1	3
792	5	5	5	4
793	4	0	1	0
794	2	2	0	1
795	1	1	1	4
796	1	0	5	4
797	1	1	1	3
798	1	9	4	6
799	5	4	5	6
800	4	1	0	1
801	2	2	2	1
802	2	2	2	5
803	2	2	4	0
804	1	1	1	0
805	0	1	1	4
806	4	8	7	1
807	5	1	1	1
808	0	0	0	1
809	2	1	1	6
810	0	0	5	0
811	1	1	0	1
812	1	1	1	3
813	2	6	7	1
814	5	0	0	0
815	2	1	1	1
816	3	7	7	1
817	1	3	5	1
818	1	1	0	0
819	1	0	1	1
820	0	5	3	3
821	4	2	1	0
822	1	1	0	0
823	0	5	1	1
824	1	2	3	2
825	2	1	0	1
826	2	5	0	0
827	3	1	2	1
828	7	1	4	5
829	1	1	1	0
830	1	4	0	5
831	6	1	2	1
832	4	3	3	2
833	2	10	2	1
834	1	0	3	1
835	4	4	1	4
836	8	2	0	1
837	0	0	1	1
838	2	0	3	0
839	0	2	1	4
840	6	0	1	3
841	2	1	0	3
842	1	0	0	1
843	3	3	3	1
844	1	5	4	1
845	2	1	0	0
846	1	1	1	3
847	4	5	3	5
848	2	1	5	1
849	0	1	0	9
850	0	1	2	1
851	1	7	3	3
852	6	1	1	1
853	1	0	1	0
854	2	1	3	9
855	1	1	0	5
856	9	1	1	0
857	0	0	2	0
858	1	5	3	2
859	0	0	0	0
860	2	2	1	1
861	1	1	1	5
862	5	2	7	8
863	4	1	1	1
864	0	1	2	4
865	1	4	9	1
866	3	4	1	5
867	4	1	0	1
868	1	1	0	5
869	0	1	4	4
870	9	1	4	4
871	1	1	0	1
872	0	4	1	5
873	6	1	2	1
874	1	0	0	0
875	4	3	1	5
876	2	1	4	1
877	4	0	4	4
878	1	1	1	1
879	3	6	0	7
880	0	1	0	2
881	3	4	3	2
882	1	1	1	4
883	3	3	1	0
884	6	11	1	1
885	2	2	2	1
886	3	1	0	1
887	0	0	0	0
888	0	1	2	0
889	1	4	4	4
890	2	1	4	0
891	3	0	1	0
892	2	1	3	1
893	2	3	1	4
894	3	1	1	1
895	1	1	1	1
896	3	4	3	5
897	1	1	4	2
898	5	1	0	6
899	0	1	3	1
900	1	7	10	1
901	4	0	0	3
902	0	1	2	0
903	2	1	2	7
904	4	1	8	8
905	1	1	1	1
906	0	4	0	1
907	0	3	5	4
908	1	1	1	0
909	4	1	1	1
910	1	3	1	5
911	5	1	4	5
912	2	1	1	1
913	1	1	2	1
914	1	5	14	6
915	3	3	3	1
916	1	1	1	1
917	1	1	6	0
918	1	1	1	4
919	8	2	2	1
920	1	1	3	4
921	4	4	2	3
922	0	0	1	3
923	6	3	3	3
924	0	4	5	1
925	5	2	1	1
926	0	1	0	36
927	10	6	7	4
928	0	1	0	0
929	0	1	2	1
930	1	1	3	3
931	3	6	2	7
932	1	0	1	1
933	2	1	1	1
934	4	1	1	11
935	3	3	4	1
936	2	1	0	1
937	3	0	1	0
938	3	5	6	5
939	1	3	1	0
940	2	2	1	0
941	1	6	2	4
942	0	1	5	3
943	1	1	1	1
944	6	2	0	0
945	2	6	5	5
946	5	4	1	4
947	0	1	1	1
948	3	4	0	5
949	1	1	3	7
950	6	4	0	4
951	4	0	1	1
952	1	1	5	0
953	3	1	5	3
954	2	5	1	2
955	5	5	1	3
956	1	1	1	0
957	1	1	3	6
958	2	2	1	5
959	1	1	5	0
960	0	1	0	0
961	7	0	1	1
962	6	6	0	4
963	3	0	0	0
964	1	1	1	1
965	0	2	3	4
966	3	1	4	4
967	2	1	1	0
968	0	1	1	4
969	1	9	3	4
970	1	1	1	2
971	1	0	0	0
972	7	1	10	1
973	4	4	11	1
974	1	1	1	1
975	0	1	1	0
976	2	5	1	1
977	1	0	0	0
978	2	2	1	1
979	4	5	1	2
980	1	1	6	4
981	1	0	0	1
982	4	1	1	1
983	0	4	0	9
984	4	28	3	1
985	1	3	0	1
986	12	5	5	1
987	1	1	3	6
988	0	3	2	1
989	0	0	0	1
990	11	6	4	1
991	1	1	1	1
992	3	1	3	4
993	4	2	1	4
994	1	2	0	4
995	1	1	1	4
996	4	3	4	1
997	2	1	4	1
998	2	1	1	1
999	1	5	1	0
1000	2	9	3	3
